Time,q,qdes
0.261,2.254013,59.823807
0.360,12.901082,58.776199
0.460,25.444336,56.801655
0.560,35.416472,53.931315
0.659,41.281128,50.210446
0.759,43.448749,45.697728
0.859,43.540226,40.464329
0.959,43.217491,34.592784
1.59,41.865900,28.175690
1.159,39.074556,21.314249
1.258,34.727783,14.116669
1.358,28.907072,6.696461
1.458,21.835509,-0.829354
1.557,13.863021,-8.342090
1.657,5.431287,-15.723266
1.756,-3.130241,-22.856477
1.855,-11.551307,-29.629227
1.955,-19.625849,-35.934707
2.55,-27.190027,-41.673475
2.155,-34.022434,-46.755028
2.254,-40.032273,-51.099226
2.354,-45.202566,-54.637558
2.453,-49.497176,-57.314224
2.553,-52.867527,-59.087010
2.652,-55.320157,-59.927958
2.752,-56.863237,-59.823807
2.851,-57.649440,-58.776199
2.950,-57.752902,-56.801655
3.50,-57.724983,-53.931315
3.150,-57.395438,-50.210446
3.249,-56.294082,-45.697728
3.348,-54.082697,-40.464329
3.448,-50.613423,-34.592784
3.547,-45.799550,-28.175690
3.646,-39.748217,-21.314249
3.745,-32.642333,-14.116669
3.845,-24.740712,-6.696461
3.944,-16.314606,0.829354
4.44,-7.642671,8.342090
4.143,1.042566,15.723266
4.242,9.543896,22.856477
4.342,17.693436,29.629227
4.442,25.352904,35.934707
4.542,32.410848,41.673475
4.642,38.795721,46.755028
4.741,44.413593,51.099226
4.840,49.217433,54.637558
4.940,53.155578,57.314224
5.39,56.219583,59.087010
5.138,58.414579,59.927958
5.237,59.716277,59.823807
5.337,60.284389,58.776199
5.436,60.312944,56.801655
5.536,60.235086,53.931315
5.636,59.766624,50.210446
5.735,58.457162,45.697728
5.835,56.074355,40.464329
5.934,52.388033,34.592784
6.33,47.365238,28.175690
6.133,41.103349,21.314249
6.233,33.827222,14.116669
6.333,25.773790,6.696461
6.432,17.210310,-0.829354
6.531,8.390150,-8.342090
6.631,-0.440134,-15.723266
6.730,-9.073572,-22.856477
6.829,-17.346913,-29.629227
6.929,-25.130136,-35.934707
7.28,-32.297353,-41.673475
7.127,-38.750414,-46.755028
7.226,-44.424353,-51.099226
7.326,-49.261061,-54.637558
7.425,-53.195619,-57.314224
7.525,-56.238787,-59.087010
7.624,-58.397918,-59.927958
7.724,-59.709831,-59.823807
7.823,-60.244257,-58.776199
7.922,-60.282709,-56.801655
8.22,-60.237719,-53.931315
8.122,-59.790503,-50.210446
8.222,-58.307712,-45.697728
8.322,-55.691967,-40.464329
8.421,-51.834949,-34.592784
8.520,-46.684404,-28.175690
8.619,-40.397409,-21.314249
8.718,-33.171402,-14.116669
8.818,-25.202591,-6.696461
8.918,-16.770675,0.829354
9.17,-8.112813,8.342090
9.116,0.558714,15.723266
9.216,9.082969,22.856477
9.315,17.265196,29.629227
9.415,24.945184,35.934707
9.514,32.017747,41.673475
9.613,38.393131,46.755028
9.713,43.997747,51.099226
9.812,48.825694,54.637558
9.911,52.844238,57.314224
10.11,55.967851,59.087010
10.111,58.224724,59.927958
10.210,59.566328,59.823807
10.310,60.136255,58.776199
10.410,60.154641,56.801655
10.510,60.119457,53.931315
10.610,59.721861,50.210446
10.709,58.428108,45.697728
10.808,56.022283,40.464329
10.907,52.323477,34.592784
11.6,47.268722,28.175690
11.106,40.999024,21.314249
11.206,33.752860,14.116669
11.306,25.744871,6.696461
11.405,17.231738,-0.829354
11.505,8.469233,-8.342090
11.604,-0.350609,-15.723266
11.703,-8.968884,-22.856477
11.802,-17.224338,-29.629227
11.901,-24.990628,-35.934707
12.1,-32.146087,-41.673475
12.101,-38.608045,-46.755028
12.201,-44.291609,-51.099226
12.301,-49.145205,-54.637558
12.400,-53.127341,-57.314224
12.500,-56.247549,-59.087010
12.599,-58.446085,-59.927958
12.698,-59.764762,-59.823807
12.798,-60.334281,-58.776199
12.898,-60.379134,-56.801655
12.997,-60.332465,-53.931315
13.97,-59.888654,-50.210446
13.197,-58.433692,-45.697728
13.296,-55.853357,-40.464329
13.396,-51.963380,-34.592784
13.496,-46.765621,-28.175690
13.595,-40.424104,-21.314249
13.695,-33.125550,-14.116669
13.794,-25.128592,-6.696461
13.894,-16.671299,0.829354
13.994,-7.980296,8.342090
14.94,0.714293,15.723266
14.194,9.251986,22.856477
14.294,17.420231,29.629227
14.393,25.081469,35.934707
14.493,32.122616,41.673475
14.592,38.492371,46.755028
14.692,44.116690,51.099226
14.791,48.930563,54.637558
14.890,52.907160,57.314224
14.990,55.997814,59.087010
15.89,58.227675,59.927958
15.189,59.561243,59.823807
15.288,60.113283,58.776199
15.388,60.127629,56.801655
15.487,60.096077,53.931315
