Time,q,qdes
2.106,2.661778,179.453958
2.205,17.689350,176.283006
2.304,35.308787,170.331965
2.404,49.817913,161.694688
2.503,58.833694,150.507388
2.603,62.778557,136.946498
2.702,62.797171,121.225879
2.802,60.075013,103.593455
2.902,54.047877,84.327301
3.2,44.824400,63.731256
3.102,32.797821,42.130130
3.201,18.467110,19.864586
3.300,2.359927,-2.714233
3.400,-15.060758,-25.250248
3.499,-32.728544,-47.388051
3.599,-50.405319,-68.778516
3.699,-68.084591,-89.084303
3.798,-85.468775,-107.985177
3.898,-101.692313,-125.183060
3.998,-116.335863,-140.406732
4.98,-129.154184,-153.416106
4.197,-139.878338,-164.006016
4.297,-148.295818,-172.009454
4.396,-154.274242,-177.300199
4.496,-157.786416,-179.794814
4.596,-158.823989,-179.453958
4.695,-158.321705,-176.283006
4.795,-155.633686,-170.331965
4.894,-150.320253,-161.694688
4.994,-142.282165,-150.507388
5.93,-131.548477,-136.946498
5.193,-118.280261,-121.225879
5.292,-102.690616,-103.593455
5.392,-85.224806,-84.327301
5.492,-67.514891,-63.731256
5.591,-49.797030,-42.130130
5.690,-32.080169,-19.864586
5.790,-14.348008,2.714233
5.889,3.376934,25.250248
5.989,21.096156,47.388051
6.88,38.828271,68.778516
6.187,56.545314,89.084303
6.287,74.263492,107.985177
6.387,91.966099,125.183060
6.487,109.667071,140.406732
6.586,127.351745,153.416106
6.686,143.673161,164.006016
6.786,156.912095,172.009454
6.885,166.848866,177.300199
6.985,173.530551,179.794814
7.84,177.075140,179.453958
7.184,177.732685,176.283006
7.284,176.605134,170.331965
7.384,172.861520,161.694688
7.483,166.145241,150.507388
7.583,156.504512,136.946498
7.682,144.111298,121.225879
7.781,129.172888,103.593455
7.880,112.075210,84.327301
7.980,94.432212,63.731256
8.80,76.779316,42.130130
8.179,59.099272,19.864586
8.279,41.407471,-2.714233
8.378,23.708269,-25.250248
8.477,5.996084,-47.388051
8.577,-11.716737,-68.778516
8.676,-29.431374,-89.084303
8.775,-47.146057,-107.985177
8.875,-64.852522,-125.183060
8.974,-82.566705,-140.406732
9.73,-100.267041,-153.416106
9.172,-117.259214,-164.006016
9.272,-131.357124,-172.009454
9.372,-142.121501,-177.300199
9.472,-149.533142,-179.794814
9.571,-153.711442,-179.453958
9.671,-154.911085,-176.283006
9.770,-154.071993,-170.331965
9.869,-150.796206,-161.694688
9.968,-144.588931,-150.507388
10.68,-135.464467,-136.946498
10.167,-123.571404,-121.225879
10.266,-109.147309,-103.593455
10.366,-92.438284,-84.327301
10.465,-74.729322,-63.731256
10.564,-56.988944,-42.130130
10.664,-39.240077,-19.864586
10.763,-21.484491,2.714233
10.863,-3.731856,25.250248
10.962,14.014560,47.388051
11.61,31.755891,68.778516
11.161,49.482376,89.084303
11.261,67.203914,107.985177
11.361,84.922364,125.183060
11.461,102.632870,140.406732
11.560,120.268287,153.416106
11.659,136.110572,164.006016
11.758,148.892439,172.009454
11.858,158.476648,177.300199
11.958,164.890666,179.794814
12.57,168.235232,179.453958
12.157,168.798712,176.283006
12.257,167.566155,170.331965
12.356,163.687890,161.694688
12.456,156.841910,150.507388
12.555,147.100850,136.946498
12.655,134.627418,121.225879
12.754,119.660589,103.593455
12.854,102.545842,84.327301
12.953,84.888543,63.731256
13.52,67.199147,42.130130
13.152,49.508208,19.864586
13.252,31.794479,-2.714233
13.351,14.084563,-25.250248
13.450,-3.643965,-47.388051
13.550,-21.372312,-68.778516
13.650,-39.115142,-89.084303
13.749,-56.849073,-107.985177
13.849,-74.576103,-125.183060
13.948,-92.300637,-140.406732
14.48,-110.011460,-153.416106
14.147,-126.623288,-164.006016
14.247,-140.223817,-172.009454
14.346,-150.508382,-177.300199
14.446,-157.509534,-179.794814
14.545,-161.328599,-179.453958
14.645,-162.183308,-176.283006
14.745,-161.224229,-170.331965
14.845,-157.587164,-161.694688
14.945,-151.020609,-150.507388
15.44,-141.550121,-136.946498
15.144,-129.348578,-121.225879
