Time,q,qdes
0.73,2.064431,59.823807
0.172,11.35042,58.776199
0.271,21.784481,56.801655
0.371,29.629582,53.931315
0.47,33.802299,50.210446
0.569,35.051789,45.697728
0.669,35.012066,40.464329
0.769,34.502836,34.592784
0.869,33.077019,28.17569
0.968,30.609227,21.314249
1.68,26.868382,14.116669
1.167,21.925215,6.696461
1.266,15.925318,-0.829354
1.366,9.183572,-8.34209
1.465,2.002599,-15.723266
1.564,-5.29423,-22.856477
1.664,-12.446874,-29.629227
1.763,-19.268249,-35.934707
1.862,-25.631331,-41.673475
1.962,-31.429796,-46.755028
2.61,-36.571489,-51.099226
2.161,-40.99058,-54.637558
2.261,-44.681396,-57.314224
2.36,-47.605757,-59.08701
2.46,-49.673321,-59.927958
2.559,-50.989002,-59.823807
2.658,-51.51294,-58.776199
2.758,-51.59216,-56.801655
2.857,-51.573229,-53.931315
2.956,-51.343787,-50.210446
3.55,-50.395422,-45.697728
3.155,-48.474585,-40.464329
3.255,-45.570381,-34.592784
3.354,-41.598506,-28.17569
3.454,-36.57394,-21.314249
3.554,-30.637873,-14.116669
3.653,-23.966856,-6.696461
3.753,-16.794282,0.829354
3.852,-9.334157,8.34209
3.951,-1.791089,15.723266
4.51,5.709213,22.856477
4.15,12.975716,29.629227
4.25,19.865143,35.934707
4.349,26.273622,41.673475
4.448,32.085344,46.755028
4.548,37.227264,51.099226
4.647,41.649851,54.637558
4.747,45.268484,57.314224
4.847,48.113171,59.08701
4.946,50.21097,59.927958
5.46,51.484476,59.823807
5.145,52.072925,58.776199
5.245,52.104477,56.801655
5.344,52.0934,53.931315
5.444,51.887384,50.210446
5.544,50.981465,45.697728
5.644,49.12355,40.464329
5.743,46.204274,34.592784
5.842,42.19154,28.17569
5.942,37.121759,21.314249
6.42,31.107879,14.116669
6.142,24.372079,6.696461
6.242,17.167636,-0.829354
6.341,9.660342,-8.34209
6.441,2.035785,-15.723266
6.54,-5.496887,-22.856477
6.639,-12.784908,-29.629227
6.738,-19.718234,-35.934707
6.838,-26.168753,-41.673475
6.937,-32.045122,-46.755028
7.36,-37.224721,-51.099226
7.135,-41.686487,-54.637558
7.235,-45.369949,-57.314224
7.335,-48.245824,-59.08701
7.434,-50.244247,-59.927958
7.533,-51.474897,-59.823807
7.632,-52.068567,-58.776199
7.732,-52.136483,-56.801655
7.832,-52.08255,-53.931315
7.932,-51.740975,-50.210446
8.31,-50.785164,-45.697728
8.13,-48.771988,-40.464329
8.23,-45.69627,-34.592784
8.33,-41.491502,-28.17569
8.429,-36.291201,-21.314249
8.528,-30.248585,-14.116669
8.628,-23.557865,-6.696461
8.727,-16.374713,0.829354
8.827,-8.906144,8.34209
8.927,-1.365165,15.723266
9.27,6.106038,22.856477
9.126,13.351703,29.629227
9.225,20.241265,35.934707
9.325,26.669175,41.673475
9.424,32.498557,46.755028
9.523,37.62604,51.099226
9.622,42.012173,54.637558
9.722,45.645969,57.314224
9.821,48.507544,59.08701
9.921,50.563077,59.927958
10.2,51.774615,59.823807
10.12,52.326882,58.776199
10.219,52.35512,56.801655
10.319,52.320481,53.931315
10.419,52.012364,50.210446
10.519,51.010248,45.697728
10.619,49.091091,40.464329
10.719,46.055187,34.592784
10.818,41.90517,28.17569
10.917,36.702825,21.314249
11.16,30.585801,14.116669
11.116,23.773688,6.696461
11.215,16.489207,-0.829354
11.314,8.979553,-8.34209
11.414,1.441433,-15.723266
11.514,-5.979196,-22.856477
11.614,-13.205793,-29.629227
11.713,-20.097217,-35.934707
11.813,-26.490035,-41.673475
11.912,-32.29808,-46.755028
12.11,-37.472141,-51.099226
12.11,-41.908166,-54.637558
12.209,-45.553538,-57.314224
12.308,-48.394004,-59.08701
12.408,-50.432376,-59.927958
12.507,-51.611727,-59.823807
12.606,-52.164629,-58.776199
12.705,-52.204171,-56.801655
12.805,-52.15496,-53.931315
12.904,-51.777838,-50.210446
13.4,-50.819031,-45.697728
13.104,-48.752784,-40.464329
13.203,-45.610377,-34.592784
13.302,-41.390946,-28.17569
13.402,-36.13367,-21.314249
13.501,-29.998986,-14.116669
13.6,-23.214066,-6.696461
13.7,-15.98883,0.829354
13.8,-8.532745,8.34209
13.9,-0.999847,15.723266
13.999,6.439623,22.856477
14.99,13.67303,29.629227
14.198,20.551606,35.934707
14.298,26.951188,41.673475
14.398,32.777528,46.755028
14.498,37.903286,51.099226
14.598,42.304627,54.637558
14.697,45.962212,57.314224
14.796,48.796094,59.08701
14.895,50.845862,59.927958
14.994,52.065662,59.823807
15.93,52.555688,58.776199
15.193,52.575164,56.801655
15.292,52.533897,53.931315
15.392,52.172029,50.210446
15.491,51.097231,45.697728
15.591,49.105981,40.464329
15.691,46.034349,34.592784
15.791,41.876115,28.17569
15.891,36.683531,21.314249
15.99,30.588707,14.116669
16.89,23.799428,6.696461
16.188,16.571196,-0.829354
16.287,9.100902,-8.34209
16.386,1.506716,-15.723266
16.486,-6.014288,-22.856477
16.586,-13.283833,-29.629227
16.685,-20.20354,-35.934707
16.785,-26.61665,-41.673475
16.884,-32.430006,-46.755028
16.984,-37.595941,-51.099226
17.83,-42.033101,-54.637558
17.183,-45.680744,-57.314224
17.282,-48.502868,-59.08701
17.382,-50.513775,-59.927958
17.481,-51.727764,-59.823807
17.58,-52.300097,-58.776199
17.679,-52.32266,-56.801655
17.779,-52.273993,-53.931315
17.878,-51.866954,-50.210446
17.978,-50.855395,-45.697728
18.78,-48.788149,-40.464329
18.177,-45.674116,-34.592784
18.277,-41.453459,-28.17569
18.377,-36.202266,-21.314249
18.477,-30.072985,-14.116669
18.577,-23.278531,-6.696461
18.676,-16.024649,0.829354
18.776,-8.523892,8.34209
18.875,-0.969566,15.723266
18.975,6.497823,22.856477
19.74,13.749662,29.629227
19.173,20.636909,35.934707
19.273,27.043891,41.673475
19.372,32.847759,46.755028
19.471,38.005341,51.099226
19.571,42.427474,54.637558
19.67,46.075253,57.314224
19.769,48.886164,59.08701
19.869,50.890896,59.927958
19.969,52.110924,59.823807
20.69,52.581928,58.776199
20.168,52.599043,56.801655
20.267,52.550785,53.931315
20.367,52.181654,50.210446
20.466,51.093417,45.697728
20.565,49.087913,40.464329
20.664,46.011741,34.592784
20.764,41.854687,28.17569
20.864,36.648983,21.314249
20.964,30.557564,14.116669
21.63,23.777819,6.696461
21.163,16.53397,-0.829354
21.262,9.02545,-8.34209
21.362,1.400212,-15.723266
21.461,-6.139905,-22.856477
21.56,-13.441909,-29.629227
21.66,-20.374418,-35.934707
21.76,-26.794338,-41.673475
21.86,-32.604471,-46.755028
21.959,-37.760373,-51.099226
22.59,-42.192948,-54.637558
22.158,-45.84,-57.314224
22.258,-48.677968,-59.08701
22.357,-50.697501,-59.927958
