Time,q,qdes
1.114,2.298095,59.817986
1.213,12.340143,58.761002
1.313,24.018065,56.777322
1.412,33.420773,53.898229
1.511,39.155864,50.169129
1.611,41.525823,45.648833
1.711,41.842611,40.408626
1.811,41.632963,34.531152
1.91,40.560933,28.1091
2.9,38.315092,21.243752
2.108,34.603756,14.043377
2.207,29.431057,6.621529
2.306,23.014814,-0.904744
2.406,15.576843,-8.416749
2.505,7.431752,-15.796017
2.604,-1.064221,-22.926172
2.704,-9.564461,-29.694768
2.804,-17.767435,-35.995059
2.903,-25.451463,-41.727687
3.2,-32.451752,-46.802244
3.102,-38.686266,-51.138702
3.201,-44.081189,-54.668672
3.301,-48.559207,-57.336485
3.4,-52.076603,-59.100066
3.5,-54.663656,-59.931605
3.6,-56.325088,-59.817986
3.699,-57.184019,-58.761002
3.799,-57.391262,-56.777322
3.898,-57.367473,-53.898229
3.997,-57.112427,-50.169129
4.96,-56.167012,-45.648833
4.196,-54.114022,-40.408626
4.295,-50.858391,-34.531152
4.395,-46.318359,-28.1091
4.494,-40.568333,-21.243752
4.594,-33.752315,-14.043377
4.694,-26.121221,-6.621529
4.794,-17.939085,0.904744
4.893,-9.394854,8.416749
4.993,-0.754107,15.796017
5.93,7.773599,22.926172
5.193,16.009305,29.694768
5.293,23.807645,35.995059
5.392,31.038692,41.727687
5.491,37.563345,46.802244
5.59,43.307379,51.138702
5.689,48.229345,54.668672
5.788,52.274992,57.336485
5.888,55.468927,59.100066
5.988,57.795849,59.931605
6.87,59.243048,59.817986
6.187,59.967283,58.761002
6.287,60.027799,56.777322
6.386,60.015087,53.898229
6.486,59.757544,50.169129
6.586,58.669716,45.648833
6.685,56.517803,40.408626
6.784,53.101691,34.531152
6.884,48.369262,28.1091
6.984,42.365869,21.243752
7.83,35.274603,14.043377
7.183,27.352461,6.621529
7.282,18.857533,-0.904744
7.381,10.045998,-8.416749
7.481,1.148934,-15.796017
7.581,-7.621788,-22.926172
7.68,-16.053613,-29.694768
7.779,-23.991054,-35.995059
7.878,-31.315348,-41.727687
7.978,-37.92821,-46.802244
8.77,-43.732986,-51.138702
